MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,,,,,,,,,,
,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Eduardo,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial
PROP_0095,CONSEJO ARQUIDIOCESANO DE BUENOS AIRES DE LA ACCION CATOLICA,Cordoba Av. 1669,Ver en mapa,CABA,-34.599458,-58.391189,"Cordoba Av. 1699 | Rodriguez Peña 811 | Rodriguez Peña 835 | Capdevila, Arturo 1678 | Capdevila, Arturo 1696 | Montevideo 858 | Montevideo 842 | Montevideo 850 | Montevideo 820 | Cordoba Av. 1601 | Montevideo 806 | Montevideo 814 | Cordoba Av. 1613 | Cordoba Av. 1619 | Montevideo 870 | Montevideo 874 | Cordoba Av. 1651 | Cordoba Av. 1657 | Cordoba Av. 1641 | Cordoba Av. 1649 | Cordoba Av. 1623 | Cordoba Av. 1629 | Cordoba Av. 1631 | Cordoba Av. 1637 | Paraguay 1660 | Paraguay 1676 | Rodriguez Peña 887 | Paraguay 1656 | Paraguay 1658 | Paraguay 1652 | Paraguay 1654 | Paraguay 1644 | Montevideo 890 | Montevideo 900 | Paraguay 1604 | Rodriguez Peña 841 | Rodriguez Peña 871 | Rodriguez Peña 879 | Rodriguez Peña 881 | Paraguay 1634 | Paraguay 1638 | Paraguay 1630 | Paraguay 1632 | Paraguay 1620 | Paraguay 1612 | Paraguay 1618 | Cordoba Av. 1723 | Cordoba Av. 1725 | Rodriguez Peña 830 | Rodriguez Peña 832 | Rodriguez Peña 840 | Montevideo 872 | Paraguay 1602 | Paraguay 1608 | Paraguay 1666 | Paraguay 1672 | Paraguay 1686 | Paraguay 1688 | Paraguay 1690 | Paraguay 1692 | Paraguay 1694 | Paraguay 1696 | Rodriguez Peña 802 | Cordoba Av. 1615 | Cordoba Av. 1673 | Cordoba Av. 1679 | Cordoba Av. 1683 | Cordoba Av. 1687 | Cordoba Av. 1691 | Cordoba Av. 1693 | Cordoba Av. 1633 | Cordoba Av. 1635 | Cordoba Av. 1639",✅,,✅,✅,✅,,✅,"Índice GCBA, Templos, Eduardo, Alquileres, Entes dependientes","Comerciales, en Juicio",U1-U3/Sin relevar
PROP_0096,PARROQUIA NTRA. SRA. DEL CARMEN,Triunvirato Av. 4940,Ver en mapa,CABA,-34.572825,-58.488416,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0097,Parroquia NTRA. SRA. DEL CARMEN (F),"Peron, Eva Av. 6387",Ver en mapa,CABA,-34.667123,-58.492833,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0098,Parroquia NTRA. SRA. DEL CARMEN (MG),Sn,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0099,Capilla MARÍA AUXILIADORA (Pquia Santa María Madre del Pueblo),Villarino S/N,Ver en mapa,CABA,,,Varela Av. 2706,,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0100,PARROQUIA NUESTRA SEÑORA DEL CONSUELO,"Alvarez, Donato, Tte. Gral. Av. 2042",Ver en mapa,CABA,-34.603946,-58.464481,"Alvarez, Donato, Tte. Gral. Av. 2044 | Alvarez, Donato, Tte. Gral. Av. 2050",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0101,PARROQUIA NTRA SRA DEL PERPETUO SOCORRO,"Scalabrini Ortiz, Raul Av. 1356",Ver en mapa,CABA,-34.59248,-58.427488,"Scalabrini Ortiz, Raul Av. 1358 | Irigoyen 1185",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Cedidos a terceros",U1
PROP_0102,PARROQUIA NUESTRA SEÑORA DEL PILAR,Junin 1900,Ver en mapa,CABA,-34.586915,-58.391776,Junin 1898 | Junin 1904 | Junin 1993 | Junin 1999,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0103,PARROQUIA  NUESTRA  SEÑORA  DEL  ROSARIO,Bonpland 1975,Ver en mapa,CABA,-34.58124,-58.434849,Bonpland 1987 | Bonpland 1999 | Nicaragua 5668 | Nicaragua 5688 | Bonpland 1985,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U7
PROP_0104,Parroquia NTRA. SRA. DEL ROSARIO DE NUEVA POMPEYA,Esquiu 974,Ver en mapa,CABA,-34.651973,-58.417109,Esquiu y Saenz Av.,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo","Escuela, No AZB",U5
PROP_0105,NUESTRA SEÑORA DEL ROSARIO DEL MILAGRO,Montiel 3875,Ver en mapa,CABA,-34.676896,-58.492893,"Montiel 3881 | Montiel y Alvarez, Crisostomo",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0106,PARROQUIA NUESTRA SE#ORA DEL SOCORRO,Juncal 876,Ver en mapa,CABA,-34.592907,-58.379806,Juncal 888,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0107,Parroquia NTRA. SRA. DEL VALLE,Cordoba Av. 3329,Ver en mapa,CABA,-34.597846,-58.413688,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0108,DEPARTAMENTO DE MIGRACIONES,Necochea 300,Ver en mapa,CABA,-34.627888,-58.36472,Necochea 312,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Cedidos a terceros,Sin relevar
PROP_0109,Parroquia PATROCINIO DE LA VIRGEN,Uspallata 3480,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0110,Basílica MARIA AUXILIADORA Y SAN CARLOS,Muñiz 355,Ver en mapa,CABA,-34.617643,-58.427383,"Muñiz 379 | Yrigoyen, Hipolito Av. 4000 | Muñiz 369",✅,,✅,,✅,,,"Índice GCBA, Templos, Eduardo",Parroquia y anexos,U1-U3/Sin relevar
PROP_0111,Capilla MARÍA AUXILIADORA (Pquia Natividad de María Santísima),San Antonio 976,Ver en mapa,CABA,-34.653315,-58.376591,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0112,PARROQUIA DEL PATROCINIO DE SAN JOSE,Ayacucho 1072,Ver en mapa,CABA,-34.596333,-58.396156,Ayacucho 1064,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0113,Parroquia PRESENTACION DEL SEÑOR,"Perez, Roque 4364",Ver en mapa,CABA,-34.548649,-58.483494,Ruiz Huidobro 3521,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0114,PARROQUIA PURISIMO CORAZON DE MARIA,"Lopez, Carlos Antonio 2781",Ver en mapa,CABA,-34.584414,-58.501468,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0115,PARROQUIA REINA DE LOS APOSTOLES,Avellaneda Av. 2679,Ver en mapa,CABA,-34.625324,-58.468509,Condarco 545 | Condarco 581 | Condarco 551 | Condarco 554,✅,,✅,✅,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Alquileres, Entes dependientes",Parroquia y anexos,U5
PROP_0116,PARROQUIA RESURRECCION DEL SE#OR,Dorrego Av. 892,Ver en mapa,CABA,-34.590935,-58.446887,Dorrego Av. 894,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0117,INSTITUTO SACRATISIMO CORAZON DE JESUS A447,Moliere 856,Ver en mapa,CABA,-34.63105,-58.506765,Moliere 866,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U5
PROP_0118,PARROQUIA SAGRADA EUCARISTIA,Charcas 4685,Ver en mapa,CABA,-34.581447,-58.42603,Charcas 4689 | Santa Fe Av. 4310,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0119,PARROQUIA SAGRADA FAMILIA I. C.,"Balbin, Ricardo, Dr. Av. 4127",Ver en mapa,CABA,-34.554949,-58.489661,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0120,Basílica SAGRADO CORAZON,Velez Sarsfield Av. 1351,Ver en mapa,CABA,-34.650658,-58.389157,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0121,Parroquia SAN AGUSTIN,Las Heras Gral. Av. 2560,Ver en mapa,CABA,-34.585504,-58.399539,,,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0122,Capilla NTRA. SRA. DE CAACUPÉ (Pquia Cristo Obrero),Sn - Villa 31,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0123,PARROQUIA SAN ALFONSO MARIA DE LIGORIO,Barzana 1515,Ver en mapa,CABA,-34.585488,-58.482747,Barzana 1525 | Barzana 1539,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0124,PARROQUIA SAN AMBROSIO,Elcano Av. 3253,Ver en mapa,CABA,-34.57371,-58.459755,Elcano Av. 3257,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0125,PARROQUIA SAN ANTONIO DE PADUA,Lincoln Av. 3701,Ver en mapa,CABA,-34.600046,-58.506382,Lincoln Av. 3751 | Lincoln Av. 3799,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0126,PARROQUIA SAN ANTONIO DE PADUA,Caseros Av. 2789,Ver en mapa,CABA,-34.636366,-58.401851,Caseros Av. 2793 | Caseros Av. 2780 | Caseros Av. 2791,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0127,Parroquia SAN ANTONIO MARIA ZACCARIA,"Montes De Oca, Manuel Av. 1820",Ver en mapa,CABA,-34.648529,-58.372603,"Montes De Oca, Manuel Av. 1810 | Montes De Oca, Manuel Av. 1826",,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0128,INSTITUTO SAN BARTOLOME,Chiclana Av. 3647,Ver en mapa,CABA,-34.636802,-58.415236,Metan 3656 | Chiclana Av. 3659,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U5
PROP_0129,PARROQUIA SAN BERNARDO,Santa Fe Av. 3751,Ver en mapa,CABA,-34.584701,-58.416472,Santa Fe Av. 3755 | Gurruchaga 167,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0130,PARROQUIA SAN CAYETANO,Vidal 1745,Ver en mapa,CABA,-34.56739,-58.457543,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0131,Capilla NTRA. SRA. DE COPACABANA (Pquia NTRA. SRA. de las Gracias Pertenece a las Hnas. Dominicas de la Anunciata),Itaqui y Charrua,Ver en mapa,CABA,-34.653526,-58.432237,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0132,PARROQUIA SAN CAYETANO I. C.,Cuzco 116,Ver en mapa,CABA,-34.637672,-58.527965,Cuzco 150 | Cuzco 158 | Cuzco 160 | Cuzco 176,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0133,INSTITUTO SAN COSMEY SAN DAMIAN,"Schmidl, Ulrico 7416",Ver en mapa,CABA,-34.657159,-58.518599,"Schmidl, Ulrico 7432 | Schmidl, Ulrico 7454",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U2
PROP_0134,PARROQUIA SAN CRISTOBAL,Caseros Av. 2601,Ver en mapa,CABA,-34.63587,-58.399038,Jujuy Av. 1251 | Caseros Av. 2641 | Jujuy Av. 1229,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, a definir",U6
PROP_0135,PARROQUIA SAN ENRIQUE,Estero Bellaco 6943,Ver en mapa,CABA,-34.648582,-58.523263,,,,✅,,,,✅,"Templos, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0136,Parroquia SAN FELIPE NERI,Andalgala 2284,Ver en mapa,CABA,-34.662376,-58.506632,,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0137,PARROQUIA SAN FERMIN,Estomba 466,Ver en mapa,CABA,-34.586366,-58.466727,"Jerez, Pedro De 479 | Estomba 438 | Estomba 440 | Estomba 446 | Estomba 454 | Estomba 456",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0138,Parroquia SAN FRANCISCO DE ASIS,Corrales 3410,Ver en mapa,CABA,-34.665138,-58.44326,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0139,PARROQUIA SAN FRANCISCO JAVIER,"Borges, Jorge Luis 1855",Ver en mapa,CABA,-34.587056,-58.427533,"Borges, Jorge Luis 1861 | Serrano 1847 :",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0140,PARROQUIA SAN FRANCISCO SOLANO,Zelada 4767,Ver en mapa,CABA,-34.641648,-58.493569,Zelada 4771 | Zelada 4761,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0141,PARROQUIA SAN GABRIEL ARCANGEL I. C.,Rivadavia Av. 9623,Ver en mapa,CABA,-34.637392,-58.499898,Rivadavia Av. 9625,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0142,Capilla NTRA. SRA. DE ITATÍ (Pquia Santa María Madre del Pueblo),Barrio Padre Ricciardelli,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0143,PARROQUIA SAN IGNACIO DE LOYOLA,Bolivar 225,Ver en mapa,CABA,-34.61046,-58.373479,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0144,PARROQUIA SAN IILDEFONSO I. C.,Guise 1939,Ver en mapa,CABA,-34.590435,-58.412544,,,,✅,,,,✅,"Templos, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0145,INSTITUTO SAN ISIDRO LABRADOR,San Isidro Labrador Av. 4620,Ver en mapa,CABA,-34.542446,-58.474335,San Isidro Labrador Av. 4630 | San Isidro Labrador Av. 4640,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0146,Parroquia SAN JOSE BENITO COTTOLENGO,Piedra Buena Av. 3848,Ver en mapa,CABA,-34.678214,-58.487356,,,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0147,Parroquia SAN JOSE DE CALASANZ,La Plata Av. 935,Ver en mapa,CABA,-34.626356,-58.427011,La Plata Av. 955,,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0148,INSTITUTO SAN JOSE DEL TALAR ARZOBISPADO DE BS AS,Navarro 2452,Ver en mapa,CABA,-34.591104,-58.489776,Navarro 2462,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U1-U3/Sin relevar
PROP_0149,PARROQUIA SAN JUAN BAUTISTA,Nueva York 4725,Ver en mapa,CABA,-34.6057,-58.520766,Nueva York 4717 | Nueva York 4715,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0150,PARROQUIA SAN JUAN BAUTISTA EL PRECURSOR I. C.,"Yrurtia, Rogelio 5800",Ver en mapa,CABA,-34.563201,-58.502344,,,,✅,,,,✅,"Templos, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0151,Parroquia SAN JUAN BOSCO,Dorrego 2106,Ver en mapa,CABA,-34.577974,-58.439404,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0152,Capilla NTRA. SRA. DE LA MEDALLA MILAGROSA I (Pquia Caacupé),Barrio 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0153,PARROQUIA SAN JUAN DIEGO CUAUHTLATOATZIN,Escalada Av. 2858,Ver en mapa,CABA,-34.663771,-58.471245,,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Comodato GCBA",U1-U3/Sin relevar
PROP_0154,Parroquia SAN JUAN EVANGELISTA,Olavarria 486,Ver en mapa,CABA,-34.636626,-58.359517,,,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0155,PARROQUIA SAN JUAN MARIA VIANNEY,San Martin Av. 4460,Ver en mapa,CABA,-34.598114,-58.482756,San Martin Av. 4464,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0156,PARROQUIA SAN LORENZO MARTIR I. C.,"Diaz, Avelino 566",Ver en mapa,CABA,-34.635477,-58.428204,"Diaz, Avelino 576",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0157,Parroquia SAN LUCAS,Cordoba Av. 2135,Ver en mapa,CABA,-34.599665,-58.398057,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0158,PARROQUIA SAN LUIS GONZAGA,Baigorria 4260,Ver en mapa,CABA,-34.611368,-58.503883,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0159,PARROQUIA SAN MARTIN DE PORRES,"Loreto, Virrey 2161",Ver en mapa,CABA,-34.565725,-58.448652,,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0160,Parroquia SAN MARTIN DE TOURS,Ortiz De Ocampo y Del Libertador Av.,Ver en mapa,CABA,-34.581292,-58.403676,San Martin De Tours 2949,,,✅,,✅,,,"Templos, Eduardo",Cedidos a terceros,Sin relevar
PROP_0161,Parroquia SAN MIGUEL,24 De Noviembre 1651,Ver en mapa,CABA,-34.63048,-58.409879,,✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Eduardo",Parroquia y anexos,U2
PROP_0162,PARROQUIA DE SAN MIGUEL ARCANGEL I. C.,"Mitre, Bartolome 884",Ver en mapa,CABA,-34.607167,-58.379045,"Mitre, Bartolome 896 | Mitre, Bartolome 886 | Mitre, Bartolome 888 | Mitre, Bartolome 892",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0163,Capilla NTRA. SRA. DE LA MEDALLA MILAGROSA II (Pquia Caacupé),Santo Domingo 3940,Ver en mapa,CABA,-34.655178,-58.405451,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0164,PARROQUIA SAN PABLO APOSTOL,Alvarez Thomas Av. 795,Ver en mapa,CABA,-34.579655,-58.453247,Alvarez Thomas Av. 799 | Palpa y Alvarez Thomas Av.,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0165,PARROQUIA SAN PANTALEON,Monte 6865,Ver en mapa,CABA,-34.66907,-58.497548,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0166,Parroquia SAN PATRICIO,Echeverria 1940,Ver en mapa,CABA,-34.560474,-58.451559,Estomba 1942,,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0167,Parroquia SAN PEDRO (BOCA),"Almeira, Hilario De 5035",Ver en mapa,CABA,-34.620124,-58.509678,"Quinquela Martin, Benito 1151",✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Eduardo",Parroquia y anexos,U1
PROP_0168,Parroquia SAN PEDRO APOSTOL,Bermudez 2011,Ver en mapa,CABA,-34.619768,-58.509055,Bermudez 2025,,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0169,Parroquia SAN PEDRO GONZALEZ TELMO,Humberto 1° 318,Ver en mapa,CABA,-34.6207,-58.370529,Humberto 1° 340,,,✅,,,✅,,"Relevamiento, Templos",Parroquia y anexos,U5
PROP_0170,Parroquia SAN PIO X,Basualdo 750,Ver en mapa,CABA,-34.645013,-58.498369,,,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0171,PARROQUIA SAN RAFAEL ARCANGEL,"Varela, Jose Pedro 5260",Ver en mapa,CABA,-34.614916,-58.522382,"Varela, Jose Pedro 5272",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0172,PARROQUIA SAN RAMON NONATO,Cervantes 1146,Ver en mapa,CABA,-34.627834,-58.501448,Cervantes 1150 | Cervantes 1148,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0173,Capilla NTRA. SRA. DE LAS FLORES (Pquia NTRA. SRA. de Luján Porteño.),Garzon Eugenio Gral. 3961,Ver en mapa,CABA,-34.642976,-58.476523,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0174,Parroquia SAN ROQUE,Plaza 1154,Ver en mapa,CABA,-34.580883,-58.467335,Plaza 1160 | Plaza 1186 | Plaza 1200,,,✅,,✅,,,"Templos, Eduardo",Parroquia y anexos,Sin relevar
PROP_0175,PARROQUIA SAN SATURNINO Y SAN JUDAS TADEO,Miraflores 2080,Ver en mapa,CABA,-34.644099,-58.438821,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0176,PARROQUIA SAN TARSICIO,Demaria 4430,Ver en mapa,CABA,-34.575382,-58.419834,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0177,PARROQUIA SAN VICENTE DE PAUL,Oliden 1440,Ver en mapa,CABA,-34.652329,-58.504852,Artigas Manuel De 6150,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0178,Parroquia SANTA ADELA,"Campos, Luis M. Av. 155",Ver en mapa,CABA,-34.574344,-58.431638,"Campos, Luis M. Av. 195 | Dorrego Av. y Clay",,,✅,✅,✅,✅,,"Relevamiento, Templos, Eduardo, Alquileres",Parroquia y anexos,U5
PROP_0179,PARROQUIA SANTA AMELIA,Liniers Virrey 428,Ver en mapa,CABA,-34.615975,-58.414276,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0180,PARRROQUIA SANTA ANA Y SAN JOAQUIN,Tinogasta 3138,Ver en mapa,CABA,-34.6002,-58.495044,"Lozano, Pedro 3167",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0181,Parroquia SANTA CATALINA DE ALEJANDRIA,Viamonte 497,Ver en mapa,CABA,-34.599782,-58.374048,San Martin 761 | Brasil 850 | San Martin 701,✅,,✅,,✅,,,"Índice GCBA, Templos, Eduardo",Parroquia y anexos,U1-U3/Sin relevar
PROP_0182,PARROQUIA SANTA CLARA I. C.,Zuviria 2631,Ver en mapa,CABA,-34.642774,-58.455845,Zuviria 2641,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0183,PARROQUIA SANTA CLARA DE ASIS,Serrano 742,Ver en mapa,CABA,-34.594521,-58.439604,Gurruchaga 1012,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0184,Capilla NTRA. SRA. DE LOS DESAMPARADOS (Pquia Virgen de los Desamparados),Moreto 767,Ver en mapa,CABA,-34.644768,-58.486392,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0185,Parroquia SANTA CRUZ,Estados Unidos 3150,Ver en mapa,CABA,-34.621484,-58.410054,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0186,PARROQUIA SANTA ELENA,"Segui, Juan Francisco 3815",Ver en mapa,CABA,-34.577906,-58.411827,"Segui, Juan Francisco 3849",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0187,ESCUELA PARROQUIAL SANTA ELISA  A 431,Salta 2290,Ver en mapa,CABA,-34.633856,-58.382466,Salta 2270,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0188,PARROQUIA SANTA FRANCISCA JAVIER CABRINI,"Bilbao, Francisco 2241",Ver en mapa,CABA,-34.633745,-58.457848,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U2
PROP_0189,Parroquia SANTA INES Y CAMILO DE LELIS,Avalos 250,Ver en mapa,CABA,-34.593829,-58.466613,Avalos 260 | Avalos 278 | Avalos 282,✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Eduardo",Parroquia y anexos,U2
PROP_0190,PARROQUIA SANTA ISABEL DE HUNGRIA,Estrada 823,Ver en mapa,CABA,-34.631976,-58.436699,Estrada 1057 | Estrada 1065 | Estrada 833,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U9
PROP_0191,PARROQUIA SANTA JULIA,"Alberdi, Juan Bautista Av. 1163",Ver en mapa,CABA,-34.623378,-58.44439,"Alberdi, Juan Bautista Av. 1195 | Alberdi, Juan Bautista Av. 1181",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0192,PARROQUIA SANTA LUCIA DE PALERMO,Gascon 1365,Ver en mapa,CABA,-34.594553,-58.42286,Gascon 1361 | Gascon 1372,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0193,PARROQUIA SANTA LUCIA VIRGEN Y MARTIR,"Montes De Oca, Manuel Av. 320",Ver en mapa,CABA,-34.632441,-58.375963,"Montes De Oca, Manuel Av. 550",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
